"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.018824708E0,6.219273984E-2,2.575354094E0,4.521622628E-1,2.615486065E0
1.028782708E0,1.747778367E0,1.844550371E0,5.650503258E-1,2.603147549E0
1.038741708E0,3.341433485E0,9.227303910E-1,7.571267188E-1,3.548217859E0
1.048699708E0,5.014148805E0,1.787066978E-1,7.066038519E-1,5.066844514E0
1.058658708E0,6.738431890E0,-7.805763924E-1,1.744013929E-1,6.785733541E0
1.068616708E0,7.478875333E0,-1.354875880E0,-7.099561337E-1,7.633695213E0
1.078575708E0,7.236711727E0,-1.764756927E0,-1.501601086E0,7.598629446E0
1.088533708E0,6.460274579E0,-1.714898888E0,-1.723089083E0,6.902540244E0
1.098492708E0,5.313616294E0,-1.503894510E0,-1.547710036E0,5.735121897E0
1.108450708E0,3.381118537E0,-1.468645740E0,-4.775150590E-1,3.717109563E0
1.118409708E0,1.090640205E0,-7.371660787E-1,1.229098763E0,1.800997961E0
1.128368708E0,-2.532534349E-1,-8.719484925E-2,1.088728019E0,1.121190860E0
1.138326708E0,-8.493086582E-1,8.402969295E-1,-4.542446025E-1,1.278187109E0
1.148285708E0,-4.369393292E0,2.055831322E0,-3.025101457E0,5.698182078E0
1.158243708E0,-9.656563799E0,-2.207185622E0,-6.606160855E-1,9.927603255E0
1.168202708E0,-8.420755355E0,-3.912035778E-1,8.918319494E-3,8.429842260E0
1.178160708E0,-5.242419426E0,1.078401398E0,-4.999369383E-3,5.352189833E0
1.188119708E0,-3.344240148E0,1.344148579E0,8.143081024E-2,3.605178019E0
1.198077708E0,-2.617541170E0,1.011351961E-1,-2.700711966E-1,2.633379683E0
1.208036708E0,-2.047091489E0,-7.623857045E-1,-6.208731455E-1,2.270968734E0
1.217994708E0,-1.405705141E0,-1.360835070E0,5.576605781E-1,2.034419906E0
1.227953708E0,-1.411889741E0,-1.377875026E0,8.061519675E-1,2.131162412E0
1.237911708E0,-1.104833736E0,-7.972058737E-1,1.667303869E0,2.153159767E0
1.247870708E0,-1.360545341E0,-5.944413918E-1,2.838642520E0,3.203488029E0
1.257828708E0,-8.640114820E-1,-9.710690305E-1,2.498150382E0,2.816069288E0
1.267787708E0,2.847862995E-1,-1.428278902E0,8.045324349E-1,1.663837822E0
1.277745708E0,1.260940361E0,-1.487328764E0,-6.996579444E-1,2.071627062E0
1.287704708E0,2.276015244E0,-1.615025522E0,-1.939441910E0,3.398527291E0
1.297662083E0,2.817281472E0,-1.873656348E0,-2.471180977E0,4.189796943E0
1.307621083E0,2.877782028E0,-1.851041949E0,-2.459065254E0,4.213666767E0
1.317579083E0,3.222143269E0,-1.861722766E0,-2.249526919E0,4.348400885E0
1.327538083E0,3.709908643E0,-1.799543182E0,-1.873566155E0,4.529020638E0
1.337496083E0,3.944271478E0,-1.569055297E0,-1.657777000E0,4.557130303E0
1.347455083E0,3.996014074E0,-1.115991978E0,-1.466101617E0,4.400343228E0
1.357414083E0,3.910877445E0,-8.054881623E-1,-1.191015848E0,4.166808409E0
1.367372083E0,3.942291026E0,-6.860795403E-1,-4.397948170E-1,4.025640713E0
1.377331083E0,3.281056305E0,-8.383302185E-1,1.958538039E-1,3.392121275E0
1.387289083E0,2.779164058E0,-1.353933602E0,1.063064736E-1,3.093249121E0
1.397248083E0,2.357948184E0,-1.646313095E0,-9.264211535E-2,2.877298908E0
1.407206083E0,2.949358379E0,-1.976277907E0,-4.876088150E-1,3.583594783E0
1.417165083E0,3.795711855E0,-1.894183876E0,-1.833875986E0,4.621521629E0
1.427123083E0,3.821389902E0,-1.152768333E0,-2.520759226E0,4.720818011E0
1.437082083E0,2.220746192E0,-6.217987597E-1,-1.533345181E0,2.769385274E0
1.447040083E0,-2.520722973E-1,-8.262791070E-1,-1.876605392E-2,8.640774101E-1
1.456999083E0,-1.118653046E0,-1.995355617E0,6.134167761E-2,2.288359997E0
1.466957083E0,-2.432923522E0,-2.675624194E0,1.230187515E0,3.819874738E0
