Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),walk-jump
1.257722292E0,-8.363728631E-1,8.346368247E-1,2.243081679E0,2.535262041E0,1
1.267644292E0,6.435369533E-1,1.418024640E0,3.368805178E0,3.711304625E0,1
1.277567292E0,2.605345632E0,2.979500776E0,3.467910221E0,5.262285819E0,1
1.287489292E0,4.004798931E0,5.969959234E0,3.407833881E0,7.955636963E0,1
1.297412292E0,3.549826496E0,7.233856532E0,2.683189907E0,8.492906249E0,1
1.307334292E0,1.873550806E0,5.293718219E0,2.204182200E0,6.032583557E0,1
1.317256292E0,5.711104167E-1,4.462863958E0,1.638833629E0,4.788433719E0,1
1.327179292E0,5.859143972E-2,3.618301485E0,-2.444478205E-1,3.627022653E0,1
1.337101292E0,5.416819650E-1,3.438551643E0,-2.547351486E0,4.313473814E0,1
1.347024292E0,-4.095249510E-1,3.048216670E0,-2.841103613E-1,3.088697824E0,1
1.356946292E0,-1.210080695E0,2.190833591E0,3.490067075E0,4.294719467E0,1
1.366869292E0,-2.480839115E0,2.428708264E0,3.162977632E0,4.696553423E0,1
1.376791292E0,-4.265184799E0,2.969938239E0,9.307115480E-1,5.280015010E0,1
1.386714292E0,-4.529426322E0,3.312677463E0,-1.787259936E-1,5.614399145E0,1
1.396636792E0,-2.561085718E0,2.884706300E0,-5.812997746E-1,3.901102399E0,1
1.406559792E0,-9.508356178E-1,2.781946163E0,-5.599410653E-1,2.992799162E0,1
1.416481792E0,9.151664329E-1,1.062137952E0,-1.001686513E-1,1.405596097E0,1
1.426404792E0,1.808788800E0,-8.603704208E-1,-8.899055842E-1,2.191776935E0,1
1.436326792E0,2.471435331E0,-3.359855137E0,-1.941122692E0,4.600497413E0,1
1.446249792E0,3.345920053E0,-5.500969269E0,-2.761433254E0,7.005808841E0,1
1.456171792E0,3.543637803E0,-6.660061659E0,-3.534402126E0,8.331013658E0,1
1.466094792E0,2.680927619E0,-7.259719352E0,-3.013632143E0,8.304991069E0,1
1.476016792E0,1.977225448E0,-8.156996813E0,-1.799767131E0,8.584007176E0,1
1.485939792E0,1.013508999E0,-8.873121101E0,-1.147069929E0,9.004179473E0,1
1.495861792E0,-3.219149494E-1,-9.149952849E0,-1.034972666E0,9.213926133E0,1
1.505784792E0,-9.270444667E-1,-9.273996851E0,-1.316165559E0,9.412689351E0,1
1.515706792E0,-5.368010017E-1,-9.004502190E0,-2.042713386E0,9.248886040E0,1
1.525629792E0,6.343936622E-3,-8.161360005E0,-3.091111844E0,8.727130674E0,1
1.535551792E0,-2.002224049E-1,-7.041067985E0,-3.074443771E0,7.685631521E0,1
1.545474792E0,-8.546556446E-1,-6.662032755E0,-1.799589668E0,6.953534330E0,1
1.555396792E0,-1.029584749E0,-5.721451399E0,-4.813501015E-1,5.833245134E0,1
1.565319792E0,-5.035192350E-1,-4.796794935E0,2.555709788E-1,4.829916127E0,1
1.575241792E0,2.864299518E-1,-3.454374794E0,9.827959138E-1,3.602864852E0,1
1.585164792E0,1.098779529E0,-8.979551536E-1,1.787856060E0,2.282557601E0,1
1.595086792E0,8.467888007E-1,2.013549521E0,2.207154340E0,3.105312098E0,1
1.605009792E0,-1.380404824E-1,3.694040469E0,2.300299315E0,4.353891030E0,1
1.614931792E0,-9.063809913E-1,5.508054925E0,2.684347363E0,6.194022629E0,1
1.624854792E0,-1.642868793E0,8.363553214E0,3.520253911E0,9.221725860E0,1
1.634776792E0,-3.833503871E0,1.134293646E1,5.153123088E0,1.303505416E1,1
1.644699792E0,-7.224974027E0,1.417119959E1,5.746886787E0,1.691300846E1,1
1.654621792E0,-8.462670536E0,1.481400973E1,4.120460072E0,1.755134947E1,1
1.664544792E0,-1.033747849E1,1.400855461E1,4.654152987E0,1.802121538E1,1
1.674466792E0,-1.111329408E1,1.523896783E1,5.972253681E0,1.978381307E1,1
1.684389792E0,-1.080216257E1,1.651659380E1,5.398937110E0,2.046052563E1,1
1.694311792E0,-1.096407665E1,1.737167542E1,4.185353641E0,2.096433325E1,1
1.704234792E0,-9.831884959E0,1.656934855E1,4.522928896E0,1.979055732E1,1
1.714156792E0,-7.904243900E0,1.571674148E1,6.443172058E0,1.873519417E1,1
1.724079792E0,-6.162660073E0,1.507005931E1,7.198154018E0,1.780164284E1,1
1.734001792E0,-3.816975547E0,1.112418511E1,5.985656084E0,1.319639630E1,1
1.743924792E0,-2.554748506E0,5.921432607E0,3.797290018E0,7.483950529E0,1
1.753846792E0,-2.035356127E0,2.562238204E0,1.643750407E0,3.661919521E0,1
1.763769792E0,-1.104296377E-1,-2.008729076E-1,4.219173937E-1,4.801655100E-1,1
1.773691792E0,3.005706535E0,-4.064152848E0,-8.151731980E-1,5.120167720E0,1
1.783614792E0,5.177091994E0,-7.381372427E0,-1.868503489E0,9.207510289E0,1
1.793536792E0,5.797557589E0,-8.308858359E0,-2.437156906E0,1.042058228E1,1
1.803459792E0,5.750588075E0,-8.873447961E0,-3.577927630E0,1.116283602E1,1
1.813382792E0,5.189020899E0,-1.021516994E1,-4.428641374E0,1.228366799E1,1
1.823304792E0,3.971709245E0,-1.085493135E1,-4.289073599E0,1.232883455E1,1
1.833226792E0,3.058825565E0,-1.084162426E1,-3.717892431E0,1.186254418E1,1
1.843149792E0,2.421629333E0,-1.015122713E1,-1.958008720E0,1.061816835E1,1
1.853072792E0,2.263669141E0,-1.045338902E1,-2.562834620E-2,1.069570927E1,1
1.862994792E0,2.671838122E0,-1.116447944E1,1.156710088E0,1.153786368E1,1
1.872917792E0,2.723019678E0,-1.064297680E1,1.864078317E0,1.114282636E1,1
1.882839792E0,2.374855700E0,-9.357683955E0,2.456790687E0,9.962028362E0,1
1.892762792E0,1.630686412E0,-7.886812180E0,2.604073863E0,8.464168313E0,1
1.902684792E0,5.468699071E-1,-6.641468098E0,2.212146546E0,7.021521027E0,1
1.912607792E0,-3.075082871E-1,-6.274602678E0,1.144686019E0,6.385570154E0,1
1.922529792E0,-1.011541995E0,-6.108830606E0,-5.145117080E-1,6.213352628E0,1
1.932452792E0,-8.616725957E-1,-6.153527892E0,-2.621407349E0,6.743898106E0,1
1.942374792E0,3.477786461E-1,-6.038965150E0,-3.234127722E0,6.859273444E0,1
1.952297792E0,1.603830735E0,-5.644861060E0,-3.203146834E0,6.685572456E0,1
1.962219792E0,2.478479179E0,-5.519968042E0,-2.840482639E0,6.684403328E0,1
1.972142792E0,3.118741692E0,-5.655885985E0,-2.570475762E0,6.951470468E0,1
1.982064792E0,3.321945007E0,-5.890404941E0,-2.159301311E0,7.098927465E0,1
1.991987792E0,3.513506224E0,-6.428646989E0,-1.606273409E0,7.500156156E0,1
2.001909792E0,4.138156963E0,-6.950777619E0,-1.138072892E0,8.169018452E0,1
2.011832792E0,3.835997124E0,-6.742979854E0,-8.306016612E-1,7.802086283E0,1
2.021754792E0,2.732607650E0,-6.520783905E0,-1.313840121E0,7.191240726E0,1
2.031677792E0,1.455187204E0,-7.257563483E0,-2.147878776E0,7.707345895E0,1
2.041599792E0,8.232663292E-1,-8.344093096E0,-2.477766988E0,8.743053602E0,1
2.051522792E0,9.720958015E-1,-8.940306194E0,-2.209884258E0,9.260541751E0,1
2.061444792E0,1.348084339E0,-9.165995854E0,-1.816585916E0,9.441016671E0,1
2.071367792E0,1.763635431E0,-9.263662482E0,-1.507090598E0,9.549721178E0,1
2.081289792E0,1.791626929E0,-8.928215321E0,-5.784064262E-1,9.124555325E0,1
2.091212792E0,1.920183813E0,-8.394223030E0,5.139445281E-1,8.626368015E0,1
2.101134792E0,2.339132721E0,-6.925060396E0,2.582138618E0,7.752125077E0,1
2.111057792E0,2.409431164E0,-1.474964826E0,9.771069238E0,1.017126707E1,1
2.120979792E0,2.871715834E0,4.712735363E0,1.044884573E1,1.181672559E1,1
