"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.171905500E0,-6.496867624E-1,4.884202623E-1,-2.249891273E-1,8.433666755E-1
2.181865500E0,-4.986716008E-1,6.179325807E-1,-2.180730589E-1,8.234499978E-1
2.191825500E0,-4.188834196E-1,8.157339460E-1,-2.023124190E-1,9.390503207E-1
2.201785500E0,-3.564108905E-1,1.077941807E0,-1.072157522E-1,1.140386987E0
2.211746500E0,-3.584141466E-1,1.252809223E0,-6.567238133E-2,1.304723921E0
2.221706500E0,-3.441343689E-1,1.472907191E0,-1.607680980E-1,1.521095144E0
2.231666500E0,-3.186144885E-1,1.639040036E0,-3.836977994E-1,1.713240040E0
2.241626500E0,-2.864144567E-1,1.820652215E0,-4.749646497E-1,1.903260137E0
2.251586500E0,-4.059116641E-1,1.928531005E0,-5.063093070E-1,2.034783829E0
2.261547500E0,-5.661806291E-1,1.850967690E0,-5.658841022E-1,2.016647394E0
2.271507500E0,-7.394684198E-1,1.633295732E0,-7.042151912E-1,1.926236623E0
2.281467500E0,-9.763829800E-1,1.359012201E0,-8.680962738E-1,1.885160212E0
2.291427500E0,-1.882259064E0,1.186966651E0,-1.748244390E-3,2.225262248E0
2.301387500E0,-2.085955008E0,1.183567080E0,5.187811987E-1,2.453807910E0
2.311348500E0,-8.002695224E-1,1.691283739E-1,-1.583411965E0,1.782197847E0
2.321308500E0,-2.155942963E0,-8.685711408E-1,-1.082170075E0,2.563902876E0
2.331268500E0,-2.597213033E0,-1.126152685E0,-2.820883942E-1,2.844874209E0
2.341228500E0,-2.041588089E0,-8.966348523E-1,-1.161944076E-1,2.232831638E0
2.351188500E0,-1.427284291E0,-6.973705137E-1,-1.022911906E-1,1.591832142E0
2.361149500E0,-1.541826275E0,-6.035010678E-1,1.608102711E-1,1.663520888E0
2.371109500E0,-1.717931839E0,-1.435397887E-1,6.724910496E-1,1.850442565E0
2.381069500E0,-1.528102860E0,6.326833516E-1,1.397369936E0,2.165185745E0
2.391029500E0,-1.773628322E0,9.046975780E-1,2.191602208E0,2.960972031E0
2.400989500E0,-2.049152632E0,6.862274748E-1,2.805961847E0,3.541660140E0
2.410949500E0,-2.323793428E0,8.049978733E-2,3.192050281E0,3.949136755E0
2.420910500E0,-2.653765548E0,-4.417419398E-1,3.588092137E0,4.484641871E0
2.430870500E0,-2.857422900E0,-7.019178933E-1,3.899178336E0,4.884787206E0
2.440830500E0,-3.011444115E0,-7.574810600E-1,3.910379262E0,4.993359509E0
2.450790500E0,-3.382255528E0,-4.963730603E-1,3.610536675E0,4.972123666E0
2.460750500E0,-3.642291149E0,5.917850018E-2,3.251637501E0,4.882922623E0
2.470711500E0,-3.914837179E0,6.692933536E-1,2.844860742E0,4.885400329E0
2.480671500E0,-4.371767262E0,1.131149130E0,2.479745686E0,5.151794446E0
2.490631500E0,-4.769872893E0,1.268243533E0,2.071396025E0,5.352645194E0
2.500591500E0,-5.014484435E0,7.388927615E-1,1.726190447E0,5.354507458E0
2.510551500E0,-5.310383953E0,-3.278247303E-1,1.390250220E0,5.499131063E0
2.520512500E0,-5.528812541E0,-1.555685638E0,1.542004323E0,5.946907032E0
2.530472500E0,-5.687531117E0,-2.210713540E0,2.334077657E0,6.533236799E0
2.540432500E0,-6.183096092E0,-1.442680010E0,4.296737545E0,7.666417443E0
2.550392500E0,-6.160380828E0,7.603900498E-1,6.740069110E0,9.162806153E0
2.560352500E0,-5.585847452E0,2.466345622E0,6.447454559E0,8.879990021E0
2.570313500E0,-5.676603840E0,2.959782795E0,4.941099540E0,8.086940708E0
2.580273500E0,-5.811105587E0,2.112404303E0,4.365142951E0,7.568729951E0
2.590233500E0,-5.538410745E0,2.674060357E-1,3.069332135E0,6.337688800E0
2.600193500E0,-4.110758080E0,-1.859435043E0,1.106234729E0,4.645383294E0
2.610153500E0,-2.758281897E0,-3.577359281E0,-3.997094493E-2,4.517434684E0
2.620114500E0,-1.907978627E0,-4.412062764E0,4.546461235E-1,4.828393456E0
2.630074500E0,-5.124277604E-1,-5.060225449E0,9.784140104E-1,5.179358820E0
2.640034500E0,1.480348942E0,-5.919408885E0,3.999372349E-1,6.114800433E0
2.649994500E0,2.974844638E0,-6.131676847E0,-5.272235548E-1,6.835577975E0
2.659954500E0,3.482007565E0,-5.566339971E0,-1.651315681E0,6.770181743E0
2.669914500E0,3.723119842E0,-4.555807205E0,-2.517784163E0,6.399706066E0
2.679875500E0,3.669147118E0,-3.334370048E0,-2.094341231E0,5.382093401E0
2.689835500E0,2.662919072E0,-2.591310561E0,1.207913424E-1,3.717609306E0
2.699795500E0,2.084021333E0,-3.124119961E0,3.373278590E0,5.047997513E0
2.709755500E0,2.683846841E0,-4.670911984E0,4.490637063E0,7.013292655E0
2.719715500E0,2.099278473E0,-5.021570676E0,2.298574387E0,5.908179616E0
2.729673458E0,7.299541229E-1,-4.172781835E0,-1.666188366E0,4.552046236E0
2.739633458E0,9.303329408E-2,-3.057136012E0,-5.552201403E0,6.338901815E0
2.749593458E0,7.296038747E-1,-1.469989430E0,-6.666008862E0,6.865046605E0
2.759553458E0,2.071669675E0,4.683619738E-4,-6.179170271E0,6.517204976E0
2.769513458E0,3.354903715E0,8.973868042E-1,-4.043123044E0,5.329871102E0
2.779474458E0,4.316979436E0,1.783111337E0,-2.323153158E0,5.216592574E0
2.789434458E0,4.054191531E0,2.823082495E0,-1.194414250E0,5.082606530E0
2.799394458E0,2.702625175E0,3.169520667E0,-9.383965436E-1,4.269734437E0
2.809354458E0,1.245562184E0,3.142317080E0,-8.293790084E-1,3.480438382E0
2.819314458E0,1.847059411E-1,3.265885704E0,8.256122321E-2,3.272146402E0
2.829275458E0,-2.130959272E-1,3.782515858E0,-3.231042731E-1,3.802266753E0
2.839235458E0,6.684186101E-2,4.102463220E0,-2.040529743E0,4.582404820E0
2.849195458E0,1.216638932E0,4.251104704E0,-3.756301036E0,5.801887535E0
2.859155458E0,2.784328904E0,4.650626239E0,-4.297723385E0,6.917458937E0
2.869115458E0,4.361355709E0,5.036288702E0,-5.670018121E0,8.748413171E0
2.879075458E0,5.634751225E0,5.501284434E0,-6.808810147E0,1.041030487E1
2.889036458E0,6.861018766E0,6.071562792E0,-5.645973201E0,1.076171300E1
