"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.092329292E0,-1.522458835E0,8.550593948E-1,-1.209388969E0,2.124059592E0
1.102287292E0,7.923924458E-1,-3.057602620E-1,-2.956303410E0,3.075890924E0
1.112246292E0,4.772820767E0,-2.297088609E0,-4.167041039E0,6.739485527E0
1.122204292E0,7.053265861E0,-3.094167598E0,-3.935750623E0,8.649425727E0
1.132163292E0,7.637378731E0,-2.677521324E0,-1.504735632E0,8.231822620E0
1.142121292E0,7.892577535E0,-1.647816122E0,2.002806724E0,8.307786281E0
1.152080292E0,8.536333174E0,-1.429092835E0,3.950428888E0,9.514051650E0
1.162038292E0,1.002721003E1,-1.772662947E0,4.172786805E0,1.100451837E1
1.171996292E0,1.088972579E1,-1.833384528E0,3.967379382E0,1.173403280E1
1.181955292E0,1.075091874E1,-5.392641413E-1,4.018343421E0,1.149000189E1
1.191913292E0,9.734738148E0,5.966539782E-1,5.169808702E0,1.103848019E1
1.201872292E0,9.215532880E0,-3.710836011E-1,5.287371651E0,1.063108876E1
1.211830292E0,8.654652168E0,-5.732148296E-1,4.390919816E0,9.721715703E0
1.221789292E0,7.720796279E0,-3.667800504E-1,3.008384267E0,8.294311225E0
1.231747292E0,6.791219383E0,-1.597076324E0,1.697747251E0,7.180087689E0
1.241706292E0,6.222087665E0,-1.897660630E0,1.136194620E0,6.603516411E0
1.251664292E0,5.963367668E0,-8.247480136E-1,1.272309687E0,6.153107765E0
1.261622292E0,5.902366006E0,3.780283391E-2,2.130505528E0,6.275221695E0
1.271581292E0,5.556185696E0,-3.353553593E-1,2.499309300E0,6.101656307E0
1.281539292E0,5.878184845E0,7.535950005E-2,1.924806329E0,6.185759091E0
1.291498292E0,5.972394015E0,1.421960401E0,2.251879692E0,6.539298418E0
1.301456292E0,5.419593569E0,2.510886787E0,2.717898687E0,6.562280105E0
1.311415292E0,4.714945611E0,3.281536946E0,2.707980055E0,6.350775765E0
1.321373292E0,3.958356836E0,2.874801117E0,2.619805212E0,5.549454897E0
1.331331292E0,3.122312586E0,1.571405293E0,2.133701032E0,4.095220455E0
1.341290292E0,2.452577183E0,5.661011070E-2,1.260763775E0,2.758235820E0
1.351248292E0,1.951869582E0,-1.498895141E0,2.167281445E-1,2.470516666E0
1.361207292E0,1.359717375E0,-2.225264921E0,-8.394210166E-1,2.739573498E0
1.371165292E0,5.441676164E-1,-1.323383946E0,-1.522834811E0,2.089614636E0
1.381124292E0,-3.043083984E-1,9.777111751E-1,-9.079049219E-1,1.368507980E0
1.391082292E0,-3.948203731E-1,2.511984894E0,2.178362650E-1,2.552137119E0
1.401040292E0,3.176160765E-1,7.230976778E-1,1.256618099E0,1.484196507E0
1.410999292E0,1.450103635E-1,-1.544249069E0,1.888733686E0,2.443982023E0
1.420957292E0,-7.358481163E-1,-2.198686987E0,3.007894270E0,3.797778937E0
1.430916292E0,-1.566343943E0,-3.043173738E0,3.190999244E0,4.679403373E0
1.440874292E0,-2.200159900E0,-3.473545767E0,1.807028495E0,4.491277743E0
1.450833292E0,-1.974473163E0,-4.325131331E0,1.662664542E-1,4.757409993E0
1.460791292E0,-1.212903146E0,-4.495941364E0,-1.562902564E0,4.911953503E0
1.470750292E0,-1.284626847E0,-3.094944693E0,-3.699840907E0,4.991770380E0
1.480708292E0,-1.613501737E0,-4.122035605E-1,-5.233139310E0,5.491725291E0
1.490666292E0,1.695335859E-1,1.199222707E0,-4.062618246E0,4.239309348E0
1.500625292E0,1.040196860E0,1.477746931E0,-5.220631531E0,5.524557818E0
1.510583292E0,-5.856980503E-1,1.823794802E0,-5.270279070E0,5.607594062E0
1.520542292E0,2.456830448E-1,1.381066729E0,-3.286307982E0,3.573167449E0
1.530500292E0,-1.453097409E-1,-1.997993588E-3,-1.998727999E0,2.004004123E0
1.540459292E0,-3.636476970E-1,-2.556753516E-1,-1.248221498E0,1.325015638E0
1.550417292E0,-7.783801782E-1,-2.046510860E-1,-1.831555519E-1,8.254112460E-1
1.560375292E0,-7.542206526E-1,-2.735251468E-1,1.423199426E0,1.633756838E0
1.570334292E0,-1.437218710E0,7.659677088E-2,2.822463859E0,3.168243508E0
1.580292292E0,-1.471002168E0,1.072085820E0,2.027984835E0,2.725057408E0
1.590251292E0,-1.330042171E0,1.502877095E0,1.303806299E-1,2.011131733E0
1.600209292E0,-9.831923550E-1,1.321876827E0,-1.162256610E0,2.016151279E0
1.610168292E0,-8.199106121E-1,1.096360829E0,-1.375158702E0,1.940443747E0
1.620126292E0,-9.828239805E-1,1.473144880E0,-1.465853987E0,2.298875100E0
1.630084292E0,-1.150941955E0,2.297559895E0,-1.319244118E0,2.888572986E0
1.640043292E0,-1.694649396E0,1.516398781E0,-1.337202086E0,2.638069608E0
