Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),WalkingJumping
1.495759917E0,1.503667931E0,2.118662578E0,-5.588521968E0,6.162899168E0,0
1.505684917E0,-1.250456303E0,-6.400537670E-2,-4.123275214E0,4.309192053E0,0
1.515608917E0,-3.299427087E0,-1.063834814E0,-2.225106753E0,4.119352338E0,0
1.525533917E0,-4.792883148E0,-1.004508964E0,-6.236932576E-1,4.936573752E0,0
1.535458917E0,-6.058417082E0,-8.661270046E-1,1.690527694E0,6.349210771E0,0
1.545382917E0,-5.217176412E0,-1.149049212E0,3.118528268E0,6.185827541E0,0
1.555307917E0,-4.397882973E0,-1.874858243E0,3.212078164E0,5.759680044E0,0
1.565232917E0,-2.675535901E0,-1.860751836E0,1.610546408E0,3.635209690E0,0
1.575157917E0,-1.334385483E0,-2.245852382E0,-3.726544556E-1,2.638808231E0,0
1.585081917E0,-2.718858799E-1,-2.644187517E0,-1.497893659E0,3.051120281E0,0
1.595006917E0,8.230447197E-1,-2.312904743E0,-1.835482509E0,3.065277638E0,0
1.604931917E0,1.494091653E0,-1.995390408E0,-1.539582991E0,2.929882000E0,0
1.614855917E0,1.464554736E0,-2.058260840E0,-3.117731000E-1,2.545301696E0,0
1.624780917E0,1.001451163E0,-2.497438776E0,6.933317687E-1,2.778635243E0,0
1.634705917E0,2.511288491E-1,-2.797923680E0,9.116094985E-1,2.953383567E0,0
1.644629917E0,-1.246819335E-1,-2.685601006E0,6.980990767E-1,2.777650207E0,0
1.654554917E0,-1.943339664E-1,-2.816296216E0,9.845471549E-1,2.989753028E0,0
1.664479917E0,1.713026610E-1,-2.492874439E0,9.494556749E-1,2.673056986E0,0
1.674403917E0,-3.152233958E-3,-2.716856128E0,7.513321280E-1,2.818832582E0,0
1.684328917E0,-4.921557561E-1,-3.030988433E0,3.093346649E-1,3.086226840E0,0
1.694253917E0,-5.412121412E-1,-2.490229744E0,1.405156088E-1,2.552234197E0,0
1.704177917E0,-2.545792910E-1,-1.303545513E0,9.675305879E-1,1.643215433E0,0
1.714102917E0,2.031120989E-1,-1.207549435E-1,2.279043517E0,2.291260708E0,0
1.724027917E0,4.891874170E-1,4.769760919E-1,2.960089774E0,3.037917377E0,0
1.733952917E0,4.630603033E-1,5.773692763E-1,3.266689696E0,3.349483796E0,0
1.743876917E0,4.957237270E-1,3.245456117E-1,2.553331726E0,2.621178126E0,0
1.753801917E0,1.105713450E0,9.265217257E-1,2.156280055E0,2.594337761E0,0
1.763726917E0,1.440687279E0,8.559797466E-1,1.882559026E0,2.520378870E0,0
1.773650917E0,2.029654068E0,1.148933437E0,1.655512812E0,2.860116493E0,0
1.783575917E0,2.598389785E0,1.496784296E0,1.546111553E0,3.373789211E0,0
1.793500917E0,2.545668949E0,1.604884695E0,1.847772771E0,3.531338202E0,0
1.803424917E0,2.551378463E0,2.258376533E0,2.293575017E0,4.107345005E0,0
1.813349917E0,2.233795424E0,3.309402437E0,2.184711556E0,4.551368044E0,0
1.823274917E0,1.823686482E0,3.850914248E0,3.416408823E0,5.461430415E0,0
1.833198917E0,1.632718173E0,3.673370562E0,5.758679452E0,7.022948736E0,0
1.843123917E0,2.321352362E0,3.803290431E0,6.192638748E0,7.629054302E0,0
1.853048917E0,3.446945906E0,4.325589461E0,4.589649135E0,7.187283176E0,0
1.862972917E0,4.177531236E0,4.742056226E0,2.570365834E0,6.822436882E0,0
1.872897917E0,4.799764444E0,4.850054884E0,9.267626309E-1,6.886193438E0,0
1.882822917E0,5.502677241E0,4.539119836E0,1.452799932E-1,7.134715971E0,0
1.892747917E0,5.615737249E0,4.236045785E0,-3.182148314E-1,7.041438022E0,0
1.902671917E0,5.196250981E0,3.926274333E0,-6.865379620E-1,6.548892179E0,0
1.912596917E0,4.331027079E0,3.929864523E0,-1.290771686E0,5.988966712E0,0
1.922521917E0,2.581657392E0,3.598039128E0,-1.281576355E0,4.610127809E0,0
1.932445917E0,2.573687053E-1,3.931412281E0,-7.879134786E-1,4.017841314E0,0
1.942370917E0,-1.398813321E0,4.947451370E0,3.024402130E-1,5.150283861E0,0
1.952295917E0,-2.138380558E0,5.482335947E0,3.251141073E-1,5.893587874E0,0
1.962219917E0,-2.351164829E0,5.430820808E0,-5.033211605E-1,5.939286396E0,0
1.972144917E0,-1.931553139E0,5.469669124E0,4.319091158E-1,5.816762273E0,0
1.982069917E0,-1.189722444E0,5.158965041E0,1.860238450E0,5.611670596E0,0
1.991994917E0,-6.418196261E-1,4.563498048E0,2.453144363E0,5.220667020E0,0
2.001918917E0,-2.418227130E-1,3.914009213E0,1.730385824E0,4.286278275E0,0
2.011843917E0,4.016198078E-1,3.768689532E0,1.292912936E-1,3.792233577E0,0
2.021768917E0,6.600129452E-1,3.761006876E0,-2.290043007E0,4.452537117E0,0
2.031692917E0,1.485861990E0,3.584817404E0,-3.477841132E0,5.210957744E0,0
2.041617917E0,1.471797389E0,2.791869473E0,-3.009857765E0,4.361188654E0,0
2.051542917E0,2.328329113E-1,1.120417151E0,-2.508564273E0,2.757252340E0,0
2.061466917E0,-1.572722670E0,-7.472227049E-1,-2.853631858E0,3.342904897E0,0
2.071391917E0,-2.181295028E0,-1.962633721E0,-4.316946399E0,5.219770621E0,0
2.081316917E0,-1.623897794E0,-3.183049954E0,-4.333695163E0,5.616917734E0,0
2.091241917E0,-1.208429148E0,-4.109543613E0,-5.201743271E0,6.738455518E0,0
2.101165917E0,-3.195599833E-1,-4.218525188E0,-5.841800546E0,7.212815467E0,0
2.111090917E0,1.344953156E-1,-4.254667413E0,-4.629494986E0,6.289078439E0,0
2.121015917E0,-3.548935381E-1,-4.645072553E0,-4.065038701E0,6.182813929E0,0
2.130939917E0,-3.519658372E-1,-4.780304033E0,-5.404764445E0,7.224033867E0,0
2.140864917E0,-1.757158470E-1,-4.679016809E0,-5.776405286E0,7.435787275E0,0
2.150789917E0,-3.297566503E-1,-4.457616667E0,-5.935910897E0,7.430620699E0,0
2.160713917E0,-8.234610415E-1,-4.055913536E0,-5.781991131E0,7.110551606E0,0
2.170638917E0,-1.869603935E0,-4.015162536E0,-5.502886571E0,7.063901874E0,0
2.180563917E0,-2.660313260E0,-4.192365915E0,-5.295498696E0,7.259166966E0,0
2.190488917E0,-2.993440538E0,-4.396438419E0,-5.141124601E0,7.397331897E0,0
2.200412917E0,-3.096473156E0,-4.725885751E0,-4.683570621E0,7.338799350E0,0
2.210337917E0,-2.447326384E0,-4.668878907E0,-4.381168415E0,6.854376219E0,0
2.220262917E0,-1.529876028E0,-4.655273021E0,-4.486752757E0,6.644022717E0,0
2.230186917E0,-1.041241173E0,-4.636877096E0,-4.057668285E0,6.248958657E0,0
2.240111917E0,-8.311442828E-1,-4.562511038E0,-3.147108874E0,5.604605432E0,0
2.250036917E0,-6.759609336E-1,-4.369227816E0,-2.264418754E0,4.967360182E0,0
2.259961917E0,-2.901844490E-1,-3.622258880E0,-8.820086271E-1,3.739372357E0,0
2.269885917E0,5.098450452E-2,-2.679869565E0,1.366265964E0,3.008485166E0,0
2.279810917E0,2.969648802E-1,-1.732468017E0,3.476247473E0,3.895372905E0,0
2.289735917E0,5.851092356E-1,-6.205182195E-1,5.374023294E0,5.441279449E0,0
2.299659917E0,9.818568510E-1,9.011249292E-1,7.228157836E0,7.349988756E0,0
2.309584917E0,1.820259283E0,2.916861309E0,8.080537452E0,8.781600609E0,0
2.319509917E0,4.036497856E0,5.569381108E0,7.065991741E0,9.861012126E0,0
2.329434917E0,5.428055660E0,7.664168335E0,6.005503873E0,1.114761595E1,0
2.339358917E0,4.625621498E0,7.845941897E0,5.050042523E0,1.041432225E1,0
2.349283917E0,2.325488536E0,7.326392228E0,4.874713177E0,9.102018928E0,0
2.359208917E0,-2.278563461E-1,5.601956531E0,4.048422083E0,6.915457819E0,0
2.369132917E0,-2.803997183E0,2.406158477E0,2.487631826E0,4.454246392E0,0
2.379057917E0,-4.686987441E0,1.012550640E-1,6.461921740E-1,4.732406173E0,0
2.388982917E0,-5.190708990E0,-5.058467191E-1,-2.682585597E-2,5.215367710E0,0
2.398906917E0,-5.005808921E0,-8.099902260E-1,5.901623994E-1,5.105144345E0,0
2.408831917E0,-4.142647625E0,-2.941114390E-1,2.179613954E0,4.690282280E0,0
2.418756917E0,-3.340452614E0,1.075349736E0,4.654185439E0,5.828931533E0,0
2.428682417E0,-2.718240164E0,2.001032971E0,6.260814359E0,7.112718114E0,0
2.438606417E0,-7.911765173E-1,3.019312128E0,4.746381412E0,5.680699122E0,0
2.448531417E0,4.406586261E0,5.363788328E0,1.348331092E0,7.071507932E0,0
2.458456417E0,1.038962279E1,7.096151095E0,1.419598126E0,1.266155129E1,0
2.468380417E0,1.168791634E1,5.474459748E0,6.792078924E-1,1.292433446E1,0
2.478305417E0,4.434879476E0,1.177331024E-1,-6.618894337E0,7.968172896E0,0
2.488230417E0,-6.177731271E0,-5.257529216E0,-1.542963383E1,1.743214208E1,0
2.498155417E0,-1.200615807E1,-6.478116773E0,-1.404143350E1,1.957742790E1,0
2.508079417E0,-1.360912429E1,-4.737036976E0,-3.699470193E0,1.487729354E1,0
2.518004417E0,-1.116087989E1,-2.131912369E0,7.954618832E0,1.387033709E1,0
2.527929417E0,-4.522730675E0,1.462879801E0,1.041305142E1,1.144669166E1,0
2.537854417E0,1.079243397E0,3.484273946E0,3.054716434E0,4.757754064E0,0
2.547778417E0,3.186131729E-1,3.013940291E0,-6.852446748E0,7.492754959E0,0
2.557703417E0,-5.356106548E-1,2.863915941E0,-1.415340768E1,1.445018485E1,0
2.567628417E0,3.991543293E-2,2.928427686E0,-1.371705687E1,1.402622299E1,0
2.577552417E0,1.390225369E0,2.231752991E0,-8.597427807E0,8.990506820E0,0
2.587477417E0,2.259644502E0,2.139067022E0,-4.119845530E0,5.162821728E0,0
2.597402417E0,2.245874748E0,2.639384614E0,-2.683177628E0,4.382892504E0,0
2.607326417E0,1.353008134E0,2.009428403E0,-2.696450222E0,3.624814108E0,0
2.617251417E0,3.940862551E-1,1.100371141E0,-2.853374580E0,3.083482953E0,0
2.627176417E0,3.474707901E-3,3.994998997E-1,-1.931375822E0,1.972263879E0,0
2.637101417E0,-2.284574398E-1,-8.207760000E-1,-1.142436011E0,1.425140724E0,0
2.647025417E0,-1.005873412E0,-2.146103561E0,-8.426948726E-1,2.515487321E0,0
2.656950417E0,-1.544972077E0,-2.805890511E0,-5.278503764E-1,3.246318885E0,0
2.666875417E0,-1.448560554E0,-3.389092970E0,-2.773118037E-1,3.696103445E0,0
2.676800417E0,-1.508997375E0,-3.510661261E0,-5.975000703E-1,3.867663623E0,0
2.686724417E0,-1.081367691E0,-2.935568306E0,-1.214900628E0,3.356024567E0,0
2.696649417E0,-6.097745454E-1,-2.686772203E0,-1.221650653E0,3.013801617E0,0
2.706574417E0,-1.486584413E-1,-2.449123233E0,2.192869592E-1,2.463410383E0,0
2.716498417E0,4.184919485E-1,-2.264188081E0,1.551530607E0,2.776496065E0,0
2.726423417E0,4.196839035E-2,-2.629365410E0,1.686676133E0,3.124131908E0,0
2.736348417E0,-7.192367613E-3,-2.767095990E0,1.457751793E0,3.127604872E0,0
2.746273417E0,2.861364216E-2,-2.255480992E0,1.139562689E0,2.527175571E0,0
2.756197417E0,-1.437166670E-1,-1.947444409E0,8.256432223E-1,2.120113426E0,0
2.766122417E0,-4.977231824E-1,-1.762008151E0,2.110985184E-1,1.843085368E0,0
2.776047417E0,-4.679740110E-1,-1.473272057E0,-7.426338100E-1,1.714944665E0,0
2.785971417E0,-9.213282287E-2,-1.105448864E0,-1.822239150E0,2.133321627E0,0
2.795896417E0,1.981779259E-1,-1.054227254E0,-1.967161220E0,2.240623320E0,0
2.805821417E0,8.485087591E-1,-4.693144852E-1,-3.757374731E-1,1.039904731E0,0
2.815746417E0,1.343077369E0,-1.748925591E-1,1.884948345E0,2.321093382E0,0
2.825670417E0,1.476040714E0,-6.178390253E-1,3.768312972E0,4.093971654E0,0
2.835595417E0,1.586035903E0,-1.277863373E0,4.474152592E0,4.915942036E0,0
2.845520417E0,1.751774646E0,-1.095062454E0,3.189736830E0,3.800302256E0,0
2.855444417E0,2.243732474E0,-2.085988337E-1,5.530227859E-1,2.320276512E0,0
2.865369417E0,2.867669561E0,7.886683542E-1,-6.333192363E-1,3.040825503E0,0
2.875294417E0,3.151973465E0,1.546285070E0,1.128498734E0,3.687742349E0,0
2.885219417E0,2.644577818E0,1.639949278E0,3.878370726E0,4.972422444E0,0
2.895143417E0,2.583592236E0,1.874282293E0,5.219442208E0,6.118043798E0,0
2.905068417E0,2.354696547E0,2.334255266E0,4.424064758E0,5.528624826E0,0
2.914993417E0,1.923419662E0,2.155410574E0,1.854667515E0,3.432947645E0,0
2.924918417E0,1.918365621E0,2.277771163E0,4.440957364E-1,3.010911681E0,0
2.934842417E0,2.232735908E0,2.946210238E0,3.031071464E0,4.780445442E0,0
2.944767417E0,2.626491211E0,3.463371904E0,6.232957639E0,7.598892153E0,0
2.954692417E0,3.236128639E0,2.952629896E0,6.901831162E0,8.174706433E0,0
2.964616417E0,4.325992626E0,2.571142344E0,5.228887800E0,7.257151837E0,0
2.974541417E0,5.401084208E0,2.715236449E0,2.221582637E0,6.440469626E0,0
2.984466417E0,5.281008711E0,2.722802746E0,2.154956245E-1,5.945514794E0,0
2.994391417E0,5.984946817E0,3.106361967E0,-2.218989104E-2,6.743112446E0,0
3.004315417E0,7.060700011E0,3.966749929E0,7.470658533E-1,8.133061972E0,0
3.014240417E0,7.647734150E0,4.391184111E0,1.355445399E0,8.922307311E0,0
3.024165417E0,5.950092149E0,3.386550601E0,1.795506849E0,7.077864537E0,0
3.034090417E0,4.483866572E0,2.806634862E0,9.201587856E-1,5.369259807E0,0
3.044014417E0,4.254342307E0,1.878974683E0,-1.406155962E0,4.858729146E0,0
3.053939417E0,3.928186957E0,9.455012029E-1,-3.533247886E0,5.367351853E0,0
