Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),WalkingJumping
1.147557000E0,-3.886265345E0,1.040275798E0,7.337916505E-1,4.089459897E0,0
1.157480000E0,-3.103457070E0,2.211206460E-1,8.255252548E-1,3.218979974E0,0
1.167403000E0,-2.836355090E0,-2.811347133E-1,6.581063144E-1,2.925243724E0,0
1.177326000E0,-2.793599079E0,-6.152346754E-1,8.077507424E-1,2.972401518E0,0
1.187249000E0,-2.597024460E0,-4.162895948E-1,5.621947284E-1,2.689590300E0,0
1.197172000E0,-2.499855430E0,1.942445040E-3,-1.993782131E-1,2.507794373E0,0
1.207095000E0,-3.329982297E0,1.028403026E0,-6.105148029E-1,3.538237303E0,0
1.217018000E0,-3.363428371E0,2.100808690E0,4.767866421E-1,3.994167380E0,0
1.226941000E0,-3.056765299E0,3.093672924E0,1.029974246E0,4.469392934E0,0
1.236864000E0,-2.862183995E0,3.568708910E0,5.274830250E-1,4.604999332E0,0
1.246787000E0,-2.242604254E0,4.270571254E0,7.664109278E-1,4.884100571E0,0
1.256710000E0,-5.007321596E-1,4.928370152E0,1.245173929E0,5.107839383E0,0
1.266633000E0,3.191519646E0,7.278958445E0,1.950541095E0,8.183742680E0,0
1.276557000E0,5.150741517E0,8.117840348E0,1.500444653E0,9.730406171E0,0
1.286480000E0,4.191860715E0,5.469301919E0,6.801844505E-1,6.924421320E0,0
1.296403000E0,2.517933851E0,2.456802966E0,1.169943725E0,3.707376433E0,0
1.306326000E0,1.161171075E0,8.104620963E-1,1.741105524E0,2.244240522E0,0
1.316249000E0,1.951970154E-1,-9.226754272E-1,7.336127257E-1,1.194830302E0,0
1.326172000E0,-7.171060359E-1,-1.999898611E0,7.385968924E-2,2.125862361E0,0
1.336095000E0,-1.828165303E0,-1.902735429E0,2.727094603E-1,2.652727075E0,0
1.346018000E0,-2.479970804E0,-1.238526814E0,7.751209402E-1,2.878370429E0,0
1.355941000E0,-2.403906130E0,-5.735761875E-1,8.386661410E-1,2.609811338E0,0
1.365864000E0,-1.529531627E0,-4.417688370E-1,1.201301100E0,1.994430003E0,0
1.375787000E0,-4.046232301E-1,-6.033256513E-1,9.386979675E-1,1.186960688E0,0
1.385710000E0,-4.289327368E-1,-4.020820302E-1,9.640409696E-1,1.129171485E0,0
1.395633000E0,-1.008452911E0,-6.418541247E-1,1.139956791E0,1.651803704E0,0
1.405556000E0,-2.042678303E0,-9.424916410E-1,1.556229429E0,2.735447894E0,0
1.415479000E0,-3.231079861E0,-1.598911765E0,1.880537059E0,4.066056508E0,0
1.425402000E0,-3.629374065E0,-2.590846292E0,1.248629633E0,4.630757667E0,0
1.435325000E0,-3.984298008E0,-3.237110386E0,5.318095626E-1,5.161040174E0,0
1.445248000E0,-3.548039295E0,-3.499793041E0,7.542674303E-2,4.984257554E0,0
1.455171000E0,-1.847624837E0,-2.358482620E0,3.100111878E-1,3.012020043E0,0
1.465094000E0,-8.384614885E-3,-7.538101780E-1,7.725259459E-1,1.079396324E0,0
1.475017000E0,2.512191886E-1,-7.989109218E-2,8.087984173E-1,8.506753477E-1,0
1.484940000E0,-7.431626907E-1,-9.621201593E-1,9.300019884E-1,1.530643552E0,0
1.494863000E0,-1.432489190E0,-2.534206653E0,2.928788094E-1,2.925748901E0,0
1.504786000E0,-1.034917994E0,-3.419977963E0,-3.655258226E-1,3.591784187E0,0
1.514709000E0,-1.398887873E-1,-3.982164944E0,-6.499122456E-1,4.037275373E0,0
1.524632000E0,6.875235102E-1,-5.093049964E0,-1.098824041E0,5.255403009E0,0
1.534555000E0,2.275237564E0,-5.480121607E0,-1.774733446E0,6.193393061E0,0
1.544478000E0,3.940141590E0,-4.510019998E0,-2.179463096E0,6.372994235E0,0
1.554401000E0,4.371072612E0,-1.017368746E-1,-5.055116371E-1,4.401382532E0,0
1.564324000E0,6.234257475E0,3.229249974E0,-1.141411579E-1,7.021897882E0,0
1.574247000E0,8.000627648E0,3.375879432E0,-2.454637925E-1,8.687166234E0,0
1.584170000E0,7.308626633E0,2.616092815E0,5.637768388E-1,7.783174750E0,0
1.594093000E0,5.096677576E0,1.565606609E0,1.054989731E-1,5.332764424E0,0
1.604016000E0,3.034787954E0,1.341094578E0,-4.125619948E-1,3.343453304E0,0
1.613939000E0,1.282974424E0,6.879272604E-1,-9.581785512E-1,1.742806192E0,0
1.623862000E0,4.358122784E-1,-6.247235370E-1,-1.432586546E0,1.622503020E0,0
1.633785000E0,5.087077618E-4,-1.465656059E0,-1.865563509E0,2.372440758E0,0
1.643709000E0,-1.014153947E0,-7.680978495E-1,-1.917974442E0,2.301544806E0,0
1.653632000E0,-1.508030831E0,6.902404189E-1,-1.330883585E0,2.126461836E0,0
1.663555000E0,-1.243490515E0,1.281176990E0,-1.470136195E0,2.312786971E0,0
1.673478000E0,-1.876684329E0,2.601171890E0,-7.592340553E-1,3.296130401E0,0
1.683401000E0,-2.595610018E0,2.532681699E0,9.740065254E-2,3.627830597E0,0
1.693323375E0,-2.945719657E0,1.162016582E0,-1.988018239E-1,3.172864479E0,0
1.703246375E0,-1.832632576E0,4.913467938E-1,-6.528884053E-1,2.006546062E0,0
1.713169375E0,-3.755298239E-1,6.593384689E-1,-6.320442510E-1,9.875372400E-1,0
1.723092375E0,7.649678349E-1,1.043357280E0,-9.852792263E-2,1.297489096E0,0
1.733015375E0,1.150559548E0,8.057638586E-1,6.751919516E-1,1.558501472E0,0
1.742938375E0,1.542397841E0,-5.400201863E-1,9.264071202E-1,1.878521507E0,0
1.752861375E0,1.925833100E0,-1.330873645E0,1.010253708E0,2.549641218E0,0
1.762784375E0,2.235026847E0,-1.005461476E0,1.056554446E0,2.668820917E0,0
1.772707375E0,1.553278340E0,-1.455807009E0,2.396188974E-1,2.142303635E0,0
1.782630375E0,2.371268141E-1,-2.165806924E0,-5.502381957E-1,2.247156165E0,0
1.792553375E0,-1.276588680E0,-1.734485891E0,-7.400179119E-1,2.277223413E0,0
1.802476375E0,-2.119750745E0,-9.770393300E-1,-6.194446707E-1,2.414883180E0,0
1.812399375E0,-2.591458495E0,-1.496916443E-1,-6.766713703E-1,2.682526582E0,0
1.822322375E0,-3.634628080E0,-1.475118023E-1,-4.706245539E-1,3.667937906E0,0
1.832245375E0,-3.894870107E0,2.587603426E-1,-9.587096246E-1,4.019464418E0,0
1.842168375E0,-3.877613804E0,2.643253132E0,-5.414897378E-1,4.723969419E0,0
1.852091375E0,-3.844884599E0,4.891043281E0,4.933189134E-1,6.240897813E0,0
1.862014375E0,-3.710303330E0,4.804857076E0,6.291254671E-1,6.103179596E0,0
1.871937375E0,-3.707034152E0,3.463526856E0,3.503254008E-1,5.085356268E0,0
1.881860375E0,-2.887065652E0,1.913870282E0,-7.962869838E-2,3.464734948E0,0
1.891783375E0,-1.155877005E0,-1.058609158E-1,-9.376768975E-1,1.492144815E0,0
1.901706375E0,2.102863401E-1,-1.865713783E0,-1.835606908E0,2.625749604E0,0
1.911629375E0,1.132713845E0,-2.152515618E0,-2.286576924E0,3.338382568E0,0
1.921552375E0,1.675630742E0,-9.754909873E-1,-2.260187270E0,2.977879706E0,0
1.931475375E0,1.280311017E0,8.761912322E-1,-1.947256129E0,2.489721632E0,0
1.941398375E0,-2.640739998E-1,1.449897228E0,-1.393573923E0,2.028296164E0,0
1.951321375E0,-1.384695803E0,5.540207595E-1,-1.172253302E0,1.896971079E0,0
